claim_id,status,provisional_claim,evidence_required,current_evidence,allowed_now,notes
C011,SPECIFIED,A different team can reproduce the primary result from the released artifacts.,signed and dated qualified independent execution record; hash-identical complete benchmark comparison; frozen tolerance comparison where applicable,[],no,Mandatory before manuscript submission; artifact availability or same-author replay cannot upgrade this claim
C012,OBSERVED,The public GitHub main revision available during the audit differed from the local audited HEAD.,git ls-remote output; local Git identity; timestamp,"[{""locator"":""line_anchor:| F16 | The audited source is not publicly reconstructible from current `main` alone | Local HEAD is 11 commits ahead of `origin/main` and the tree is dirty | A public CI attestation cannot yet identify the audited local state |"",""path"":""audit/BASELINE_AUDIT_2026-07-13.md"",""sha256"":""09cc14d42104eaa3ced9faeb2ae98ed7cc9e20f6b77262f92c3295d746cefce1""}]",yes,The current local audit is not reproducible from public main alone
C013,OBSERVED,"In the retained 0.3.0-draft synthetic pilot, all 136 case-profile executions matched their profile-specific expected decision and primary reason, with no clean failure or ERROR.",externally retained raw pilot tree plus source-Git retention index bound to its tree and summary digests,"[{""locator"":""json_pointer:/retained_summary/result_count"",""path"":""pilot_runs/PILOT_RETENTION_SUMMARY_2026-07-18.json"",""sha256"":""3df6c0d86e4b81f73a13dc9c852d4d2cd790370e488ba85071dcb4da592cbbfb""},{""locator"":""json_pointer:/retained_summary/profile_conformance_mismatches"",""path"":""pilot_runs/PILOT_RETENTION_SUMMARY_2026-07-18.json"",""sha256"":""3df6c0d86e4b81f73a13dc9c852d4d2cd790370e488ba85071dcb4da592cbbfb""},{""locator"":""json_pointer:/retained_summary/clean_failures"",""path"":""pilot_runs/PILOT_RETENTION_SUMMARY_2026-07-18.json"",""sha256"":""3df6c0d86e4b81f73a13dc9c852d4d2cd790370e488ba85071dcb4da592cbbfb""}]",yes,Exploratory pilot statement only; raw run bytes are external to source Git; fixture PKI is not production Sigstore; expectations and the derived retention index remain author-defined
C014,OBSERVED,The 34 deterministic case archives from the two retained same-environment pilot runs were byte-identical.,both archive sets; SHA-256 comparison record or reproducible comparison command,"[{""locator"":""json_pointer:/all_archives_identical"",""path"":""pilot_runs/archive_reproducibility_comparison.json"",""sha256"":""eda7eb4fd8f5d146ab04e28f859900b5ea0b8e2671967feefa8a0c19f7330143""},{""locator"":""json_pointer:/first_archive_count"",""path"":""pilot_runs/archive_reproducibility_comparison.json"",""sha256"":""eda7eb4fd8f5d146ab04e28f859900b5ea0b8e2671967feefa8a0c19f7330143""}]",yes,Same macOS environment only; not independent or cross-platform reproduction
C015,SPECIFIED,The production profile verifies a real A.M.Y GitHub Actions/Sigstore attestation and reproduces the confirmatory matrix in clean Linux.,frozen workflow/trust policy; A.M.Y bundle and trusted roots; P3 production adapter; clean Linux execution,[],no,Required before registration; upstream interoperability does not establish A.M.Y P3 behavior or matrix reproduction
C016,OBSERVED,"In the retained upstream smoke, the production adapter used a SHA-256-pinned GitHub CLI 2.96.0 binary inside the pinned Linux/amd64 container with networking disabled and accepted a genuine public GitHub CLI v2.96.0 Sigstore/Rekor bundle under P2; two executions produced byte-identical normalized result bytes.","retained subject, bundle, trusted root, policy, input hashes, result, container digest, and replay record","[{""locator"":""json_pointer:/tool"",""path"":""production_pilot_runs/github_cli_2.96.0_upstream_smoke/input_hashes.json"",""sha256"":""28113d672b8aff5540729704aa3ca3afaed5922b2125a3d40e67efc1d2e374e4""},{""locator"":""json_pointer:/execution_image"",""path"":""production_pilot_runs/github_cli_2.96.0_upstream_smoke/input_hashes.json"",""sha256"":""28113d672b8aff5540729704aa3ca3afaed5922b2125a3d40e67efc1d2e374e4""},{""locator"":""json_pointer:/same_environment_replay"",""path"":""production_pilot_runs/github_cli_2.96.0_upstream_smoke/input_hashes.json"",""sha256"":""28113d672b8aff5540729704aa3ca3afaed5922b2125a3d40e67efc1d2e374e4""},{""locator"":""json_pointer:/decision"",""path"":""production_pilot_runs/github_cli_2.96.0_upstream_smoke/result.json"",""sha256"":""444615e874774a01679e55098885a5e790d78a70a8f5fa0cc39caab28e545baa""}]",yes,"Interoperability observation only; the subject is GitHub CLI, the upstream Statement has multiple subjects, and this is neither A.M.Y, P3, confirmatory evidence, nor independent reproduction"
C017,OBSERVED,"At the audited ATLAS snapshot, all three manifest signatures verified under the locally available Ed25519 public key, while only two of the three referenced model files matched their declared SHA-256 and no declared manifest Git revision resolved to a commit.",read-only scanner; raw JSON; source hashes; same-environment canonical replay,"[{""locator"":""json_pointer:/manifests_and_artifacts/summary"",""path"":""audit/ATLAS_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""949e1a5fb40fd85cc0267073d0b40eaa0832282f61ea481010e69a5f27abd8a7""}]",yes,Local-key cryptographic validity only; signer authorization and public trust were not established
C018,OBSERVED,"None of the nine retained ATLAS publication directories containing package_hash.txt matched a fresh reproduction of the implementation's BLAKE2b-512 package hash; all nine manifests repeated the stored value, zero integrity proofs repeated it, and eight proofs asserted blockchain_validation=true.",read-only package scanner; exact implemented hash reproduction; raw per-package records; same-environment canonical replay,"[{""locator"":""json_pointer:/publication_packages/summary"",""path"":""audit/ATLAS_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""949e1a5fb40fd85cc0267073d0b40eaa0832282f61ea481010e69a5f27abd8a7""}]",yes,Current-byte observation only; do not infer malicious tampering or historical cause
C019,OBSERVED,The audited root CI workflows did not invoke the ATLAS manifest-signature or artifact-manifest validators; workflows containing ATLAS checks were nested below atlas/.github/workflows.,workflow inventory; exact workflow bytes and SHA-256; scanner output,"[{""locator"":""json_pointer:/static_code/ci"",""path"":""audit/ATLAS_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""949e1a5fb40fd85cc0267073d0b40eaa0832282f61ea481010e69a5f27abd8a7""}]",yes,Repository-layout observation at the audited snapshot; not a claim about earlier or future CI
C020,OBSERVED,"In the retained exploratory R0 base pilot, six structurally distinct study-generated clean bases produced 24 ACCEPT/OK profile rows under the controlled test PKI; a separate validator reported zero errors, a same-environment rebuild reproduced all manifest/tree/archive hashes, and no derived confirmatory case was generated.",base registry; retained archives/manifests/results; separate same-worktree validator implementation; replay hash comparison,"[{""locator"":""json_pointer:/base_count"",""path"":""base_pilot_runs/r0_bases_20260713T065228Z/validation.json"",""sha256"":""f8f6ea6cf5c7e540a375960cf20d329f01fec6b59fb5478b8f4898a04c60bc5c""},{""locator"":""json_pointer:/validated_bases"",""path"":""base_pilot_runs/r0_bases_20260713T065228Z/validation.json"",""sha256"":""f8f6ea6cf5c7e540a375960cf20d329f01fec6b59fb5478b8f4898a04c60bc5c""},{""locator"":""json_pointer:/confirmatory_cases_generated"",""path"":""base_pilot_runs/r0_bases_20260713T065228Z/validation.json"",""sha256"":""f8f6ea6cf5c7e540a375960cf20d329f01fec6b59fb5478b8f4898a04c60bc5c""},{""locator"":""json_pointer:/all_compared_fields_identical"",""path"":""base_pilot_runs/r0_bases_20260713T065228Z/replay_comparison.json"",""sha256"":""568876290ec3862152702d3b35581f60bc976c5df81dcbc05fecffdccfed530b""}]",yes,"Pilot/design observation only; not production Sigstore, confirmatory evidence, cross-platform replay, or independent reproduction"
C021,OBSERVED,The exact pinned actions/attest v4.1.1 default-provenance implementation did not emit the source.dirty object or three A.M.Y-specific material dependencies required by the pre-selection P3 adapter captured in the retained upstream audit.,exact upstream commit; bundled dependency version; source-file hashes; pinned implementation inspection; historical local-adapter contract,"[{""locator"":""json_pointer:/observed_default_provenance/absent_from_default_predicate"",""path"":""audit/UPSTREAM_ATTESTATION_SEMANTICS_2026-07-13.json"",""sha256"":""4dbe5c25adcb29d438d3810130dcfee214cbc2b59c1337e64fadaf61ee6722d1""},{""locator"":""json_pointer:/current_local_p3_contract/requires_custom_materials"",""path"":""audit/UPSTREAM_ATTESTATION_SEMANTICS_2026-07-13.json"",""sha256"":""4dbe5c25adcb29d438d3810130dcfee214cbc2b59c1337e64fadaf61ee6722d1""}]",yes,"Snapshot-bound design incompatibility that motivated a pre-registration profile change; it is not a claim about the selected adapter, and workflow-supplied claims are not independently certified as truthful"
C022,OBSERVED,"The committed A.M.Y system-paper release at 26ab9939cce194540e609cb315772a8b15975a05 matched all 1148 final-manifest entries, while its current working revision had 13 mismatches.",Git archive of committed release; current files; both manifests; independent scanner and canonical replay,"[{""locator"":""json_pointer:/release_integrity"",""path"":""audit/AMY_SYSTEM_PAPER_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""36a1a81c780c6f7436b5fd80fd25eb9876ab8703dbcfa722aa50e858a5e09f7b""}]",yes,Internal digest consistency only; neither state has an authenticated publisher identity
C023,OBSERVED,"The formal paper's unsupported-decimal endpoint reproduced its pair-level Holm-adjusted p-value of 4.531635958482383e-05, but exact unregistered sign-flip sensitivities were 0.0703125 across 18 case clusters and 0.1875 across six domain/evidence clusters.",540 run rows; independently reimplemented scorer; pair/case/domain recomputation; canonical replay,"[{""locator"":""json_pointer:/benchmark/recomputed_inference"",""path"":""audit/AMY_SYSTEM_PAPER_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""36a1a81c780c6f7436b5fd80fd25eb9876ab8703dbcfa722aa50e858a5e09f7b""}]",yes,Report as dependence sensitivity and exploratory evidence; it does not replace the preregistered test or prove no effect
C024,OBSERVED,"The formal benchmark retained 540 intended request objects and 540 parsed API response objects, but no byte-exact HTTP bodies, headers, status fields, immutable model digests, model revisions, or server versions.",request/response inventory; runner and Ollama client source; independent scanner,"[{""locator"":""json_pointer:/benchmark/design_accounting"",""path"":""audit/AMY_SYSTEM_PAPER_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""36a1a81c780c6f7436b5fd80fd25eb9876ab8703dbcfa722aa50e858a5e09f7b""},{""locator"":""json_pointer:/benchmark/transport_record"",""path"":""audit/AMY_SYSTEM_PAPER_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""36a1a81c780c6f7436b5fd80fd25eb9876ab8703dbcfa722aa50e858a5e09f7b""}]",yes,Call the artifacts parsed and reserialized API JSON; a hosted rerun is a replication rather than exact reproduction
C025,OBSERVED,"The formal benchmark's statistical methods were declared in its local preregistration, but the first executable analysis-code commit occurred 131 seconds after the first retained provider response.",unsigned Git history; protocol record; response timestamps; analysis source history,"[{""locator"":""json_pointer:/static_pipeline/analysis_freeze"",""path"":""audit/AMY_SYSTEM_PAPER_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""36a1a81c780c6f7436b5fd80fd25eb9876ab8703dbcfa722aa50e858a5e09f7b""}]",yes,Chronology risk only; this is not evidence of result manipulation and the local timestamps are not independently authenticated
C026,OBSERVED,"All 540 formal-paper score records reproduced under an independent implementation, while one response violated the required JSON field type and 27 abstracts plus 22 conclusions violated prompted word ranges that the scorer did not enforce.",responses; run ledger; independent parser/scorer; deterministic audit replay,"[{""locator"":""json_pointer:/benchmark/response_and_schema_audit"",""path"":""audit/AMY_SYSTEM_PAPER_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""36a1a81c780c6f7436b5fd80fd25eb9876ab8703dbcfa722aa50e858a5e09f7b""}]",yes,Deterministic agreement does not establish construct validity or scientific truth
C027,OBSERVED,Two same-input ReportLab builds of the current formal manuscript produced different PDF hashes while their extracted text hashes matched.,pinned runtime observation; renderer and input hashes; two output hashes; pdftotext comparison,"[{""locator"":""line_anchor:### SP10 — The PDF is readable but not archival-quality or byte-reproducible"",""path"":""audit/AMY_SYSTEM_PAPER_CODE_DATA_PDF_AUDIT_2026-07-13.md"",""sha256"":""0ee767ba3121c73a457c2b4a39588d0b9d9112ea512aa6ac2abfb2bc6d611c68""}]",yes,Same-host exploratory build probe; retain exact environment and add a deterministic renderer before a release claim
C028,OBSERVED,"Within the scanned source boundary, AXIOM was a package/project and class/demo label over Atlas app code; no separate top-level axiom package, console entry point, or /axiom route literal was found.",package metadata; static Python and route scan; deterministic replay,"[{""locator"":""json_pointer:/project_boundary/independent_axiom_surface"",""path"":""audit/AXIOM_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""6cf3f6911bcc267a00b40d611f0023a639571d7b8620cb73719d12b9c539f2ea""}]",yes,Snapshot-bound project-identity observation; it does not prove that another revision or deployment never had a separate AXIOM surface
C029,OBSERVED,"Both audited A.M.Y API entry modules directly imported an app.middleware.setup module whose current bytes had a SyntaxError at line 29, blocking the configured main:app Docker entry under static import analysis.",entry-module imports; py_compile-equivalent AST parse; Docker entry; source hashes,"[{""locator"":""json_pointer:/critical_claim_checks"",""path"":""audit/AXIOM_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""6cf3f6911bcc267a00b40d611f0023a639571d7b8620cb73719d12b9c539f2ea""}]",yes,Static current-byte blocker only; no service was started and no claim is made about historical deployments
C030,OBSERVED,"None of eleven retained AXIOM scientific/demo or capability artifacts contained authentication, content-digest, source-revision, provenance, immutable-model-identity, seed, or raw-exchange fields.",complete classified AXIOM-named JSON inventory; field scan; canonical replay,"[{""locator"":""json_pointer:/axiom_named_json_artifacts"",""path"":""audit/AXIOM_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""6cf3f6911bcc267a00b40d611f0023a639571d7b8620cb73719d12b9c539f2ea""}]",yes,Auditor-computed hashes identify present bytes only and do not establish origin or scientific validity
C031,OBSERVED,"The retained AXIOM comprehensive real-data demo had zero producer network calls, twenty-two artifact subtrees matching source literals, a real_data_examples object equal to the source return literal, and peer review explicitly labeled simulation in source.",producer AST/source; artifact canonical subtree hashes; deterministic scanner,"[{""locator"":""json_pointer:/critical_claim_checks/literal_multidomain_real_data_demo"",""path"":""audit/AXIOM_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""6cf3f6911bcc267a00b40d611f0023a639571d7b8620cb73719d12b9c539f2ea""}]",yes,Classify as an embedded-data deterministic demo; do not infer fabrication of an external experiment
C032,OBSERVED,"Two retained AXIOM astronomy demo reports contained zero queries, zero successful connections, and zero analyzed objects while repeating four positive findings.",two JSON reports; exact fields and present-byte hashes; deterministic scanner,"[{""locator"":""json_pointer:/critical_claim_checks/zero_data_positive_reports"",""path"":""audit/AXIOM_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""6cf3f6911bcc267a00b40d611f0023a639571d7b8620cb73719d12b9c539f2ea""}]",yes,Internal report inconsistency only; the positive findings are not usable as observed scientific results
C033,OBSERVED,"The revised A.M.Y replication manuscript's intended 24 provenance records all matched their stored preview and output SHA-256 values, but its claimed replication_ selector currently selected 96 records and none of the intended 24 included authentication, source revision, dependency identity, or a seed.",exact paths recovered from source manuscript; 96-record prefix inventory; provenance and output-byte scan; canonical replay,"[{""locator"":""json_pointer:/amy_revised_benchmark"",""path"":""audit/LATEST_MANUSCRIPTS_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""f7121f209496bf9dc646d625663b523f7c573eabaab850d478269f44d1f9e245""}]",yes,Present-byte consistency only; the source manuscript is needed to recover the intended denominator and no historical origin or independent replay is established
C034,OBSERVED,"The ATLAS system paper claimed 3/3 success, 23.17 seconds, 7.77 workflows per minute, and production readiness without a retained machine-readable result; its candidate source hard-coded three success values and 0.85 quality defaults and its references section was a placeholder.",manuscript bytes; candidate integration source; result-artifact inventory; deterministic scanner,"[{""locator"":""json_pointer:/atlas_system_paper"",""path"":""audit/LATEST_MANUSCRIPTS_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""f7121f209496bf9dc646d625663b523f7c573eabaab850d478269f44d1f9e245""}]",yes,Source literals are not execution outcomes; do not report the manuscript's headline values as measured validation
C035,OBSERVED,"The latest AXIOM META4 manuscript and two timestamped copies were byte-identical, contained eleven appendix placeholders, and cited a retained JSON with 18 status strings but none of the manuscript's seven model scores.",three manuscript hashes; placeholder inventory; supporting-JSON value scan; canonical replay,"[{""locator"":""json_pointer:/axiom_meta4_paper"",""path"":""audit/LATEST_MANUSCRIPTS_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""f7121f209496bf9dc646d625663b523f7c573eabaab850d478269f44d1f9e245""}]",yes,The JSON may support a bounded import/smoke observation only; it does not support the paper's evaluation scores
C036,OBSERVED,"The latest DNA manuscript declared four absent publication artifacts, used unrelated E2 and E3 inputs as GC corroboration, and its six-page PDF omitted data-availability and provenance sections while visibly retaining a reasoning tag and literal Markdown syntax.",manuscript and provenance scan; declared-artifact existence check; exact input comparison; page render plus pdfinfo/pdffonts/pdftotext bound to the reviewed PDF SHA-256,"[{""locator"":""json_pointer:/amy_latest_dna_paper"",""path"":""audit/LATEST_MANUSCRIPTS_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""f7121f209496bf9dc646d625663b523f7c573eabaab850d478269f44d1f9e245""}]",yes,The visual findings apply only to PDF b0cf1904...; existence of three related papers does not reconstruct the missing novelty-search procedure
C037,OBSERVED,"The bond-energy manuscript's eight cited outputs matched their current SHA-256 values, but the producer queried a literal reference dictionary and the records lacked environment, provenance version, authentication, source revision, dependency identity, and seed.",eight provenance/output records; producer and tool source; duplicate manuscript hashes; deterministic replay,"[{""locator"":""json_pointer:/atlas_bond_energy_paper"",""path"":""audit/LATEST_MANUSCRIPTS_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""f7121f209496bf9dc646d625663b523f7c573eabaab850d478269f44d1f9e245""}]",yes,"Describe as deterministic lookup-table queries, not empirical chemistry validation or model accuracy"
C038,OBSERVED,"All 14 formal-paper bibliography entries were cited, but the local arXiv:2606.04990 title and author list differed from the current official record; the revised A.M.Y benchmark also gave 2014 for a Stodden et al. Science record officially published in 2016.",local Markdown/BibTeX parse; curated primary-source metadata snapshot; deterministic replay,"[{""locator"":""json_pointer:/formal_system_paper_references"",""path"":""audit/LATEST_MANUSCRIPTS_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""f7121f209496bf9dc646d625663b523f7c573eabaab850d478269f44d1f9e245""},{""locator"":""json_pointer:/amy_revised_benchmark/reference_audit"",""path"":""audit/LATEST_MANUSCRIPTS_DEEP_AUDIT_RAW_2026-07-13.json"",""sha256"":""f7121f209496bf9dc646d625663b523f7c573eabaab850d478269f44d1f9e245""}]",yes,Metadata snapshot retrieved 2026-07-13; refresh and freeze the exact cited versions before release
C039,OBSERVED,"Before confirmatory execution, the study selected standard GitHub provenance plus authenticated workflow-authored manifest metadata, and the present static audit found all 27 listed implementation controls while retaining five profile-freeze blockers.",profile decision record; exact contract/code hashes; deterministic AST/schema audit; canonical replay,"[{""locator"":""json_pointer:/selection"",""path"":""audit/SELECTED_ATTESTATION_PROFILE_AUDIT_RAW_2026-07-13.json"",""sha256"":""edfd90f8093c7d155335a84f57404975f0d18df5dc1c9c7a211606d817522c3e""},{""locator"":""json_pointer:/implementation"",""path"":""audit/SELECTED_ATTESTATION_PROFILE_AUDIT_RAW_2026-07-13.json"",""sha256"":""edfd90f8093c7d155335a84f57404975f0d18df5dc1c9c7a211606d817522c3e""},{""locator"":""json_pointer:/registration"",""path"":""audit/SELECTED_ATTESTATION_PROFILE_AUDIT_RAW_2026-07-13.json"",""sha256"":""edfd90f8093c7d155335a84f57404975f0d18df5dc1c9c7a211606d817522c3e""}]",yes,"Authored pre-registration chronology plus same-environment static replay; not an independently time-stamped registration, real A.M.Y P3 run, or production-readiness result"
C040,OBSERVED,"The current v2 production result schema requires every structured ACCEPT, REJECT, or ERROR to carry the policy, policy-schema, and result-schema SHA-256 values; ACCEPT/P3 additionally requires the production manifest-schema SHA-256 and all six P1 checks as PASS, while ACCEPT/P2 forbids those integrated-P3 fields.",v2 production result schema; v2 policy schema and template; base and production reason registries; protocol validator; adversarial schema tests,"[{""locator"":""json_pointer:/$defs/contractIdentityProperties"",""path"":""schemas/github-production-verification-result-v2.schema.json"",""sha256"":""3712f2c587d3df11dedfd408a18b391690a40484ecefe0db05f0b4a6cbb1bd08""},{""locator"":""json_pointer:/$defs/accept"",""path"":""schemas/github-production-verification-result-v2.schema.json"",""sha256"":""3712f2c587d3df11dedfd408a18b391690a40484ecefe0db05f0b4a6cbb1bd08""},{""locator"":""json_pointer:/oneOf"",""path"":""schemas/github-production-verification-result-v2.schema.json"",""sha256"":""3712f2c587d3df11dedfd408a18b391690a40484ecefe0db05f0b4a6cbb1bd08""}]",yes,"A contract/property observation; schema conformance does not establish that real cryptography, payload verification, or scientific conclusions are correct"
C041,OBSERVED,The selected profile recomputes and authenticates the exact source.tar bytes as an opaque payload but neither inspects tar members nor claims that they reconstruct the separately workflow-authored Git tree.,production manifest schema and policy; P3/P1 call-scope AST audit; claim-boundary documents; canonical replay,"[{""locator"":""json_pointer:/source_snapshot_semantics"",""path"":""audit/SELECTED_ATTESTATION_PROFILE_AUDIT_RAW_2026-07-13.json"",""sha256"":""edfd90f8093c7d155335a84f57404975f0d18df5dc1c9c7a211606d817522c3e""}]",yes,"Intentional scope boundary; any future tree-to-tar equivalence statement requires a separately specified, tested, and versioned verifier"
C042,OBSERVED,"A separate selected-profile R0 run preserved all six reviewed base blueprints, injected two collision-free controlled provenance payloads, used a parseable deterministic USTAR source snapshot, and a separate same-worktree validator replayed 24 clean profile results as ACCEPT/OK.",base blueprints; retained release trees and archives; closed result schema; separate payload reconstruction and P0-P3 replay,"[{""locator"":""json_pointer:/validated_bases"",""path"":""selected_profile_base_runs/r0_selected_bases_20260713T101851Z/validation.json"",""sha256"":""d5f5767439de6c032704bed8b88e8f303a164af05a895f8ec826da700223d757""},{""locator"":""json_pointer:/base_count"",""path"":""selected_profile_base_runs/r0_selected_bases_20260713T101851Z/validation.json"",""sha256"":""d5f5767439de6c032704bed8b88e8f303a164af05a895f8ec826da700223d757""},{""locator"":""json_pointer:/selected_s1_migration/fixture_snapshot"",""path"":""audit/SELECTED_ATTESTATION_PROFILE_AUDIT_RAW_2026-07-13.json"",""sha256"":""edfd90f8093c7d155335a84f57404975f0d18df5dc1c9c7a211606d817522c3e""}]",yes,"Exploratory controlled-public-PKI fixture evidence only; same-author validator separation is not independent external reproduction, production Sigstore, a real A.M.Y release, or a confirmatory clean-acceptance result"
C043,OBSERVED,"Before confirmatory generation, the selected-profile v0.4 draft preserved all 34 historical case IDs, added seven semantic operators, and produced a complete 246-row compatibility matrix with 185 compatible, 54 pending, and 7 structurally non-compatible units; poisoning every target decision and profile expectation left all rows unchanged.",deterministic catalog builder/validator; historical hash checks; selected clean-base replay; separate same-worktree prerequisite recomputation; counterfactual outcome-field invariance,"[{""locator"":""json_pointer:/compatibility_counts"",""path"":""corpus/COMPATIBILITY_MATRIX_SELECTED_PROFILE_VALIDATION.json"",""sha256"":""01d532380f25e0659654ded0ac86f7ba07a6bb5376127fec491cf973dbaf89e4""},{""locator"":""json_pointer:/candidate_unit_count"",""path"":""corpus/COMPATIBILITY_MATRIX_SELECTED_PROFILE_VALIDATION.json"",""sha256"":""01d532380f25e0659654ded0ac86f7ba07a6bb5376127fec491cf973dbaf89e4""},{""locator"":""json_pointer:/counterfactual_outcome_fields_invariant"",""path"":""corpus/COMPATIBILITY_MATRIX_SELECTED_PROFILE_VALIDATION.json"",""sha256"":""01d532380f25e0659654ded0ac86f7ba07a6bb5376127fec491cf973dbaf89e4""},{""locator"":""json_pointer:/summary"",""path"":""protocol/ATTACK_CATALOG_SELECTED_PROFILE_VALIDATION.json"",""sha256"":""43aeb7c442d5ebf6db4a101c3bf9ec77813ad2f6b8eba3ec9b839f8b4e8eea7d""}]",yes,"R0 structural planning evidence only; compatibility is not a verifier outcome, 54 rows remain pending, and the generator/oracle are neither independently reviewed nor frozen"
